# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
>BD-10 3166: 164.6191243 -10.7704227 8.1240000 nan 1.010000 5393.00 4.685000 0.3820
 BD-10 3166 b: nan nan 145.56000000 0.0452000000 3.48777000000 nan 1
>GJ 3021: 4.0634323 -79.8514218 4.8590000 0.900000 0.900000 5540.00 4.700000 0.1000
 GJ 3021 b: nan nan 1071.04000000 0.4900000000 133.71000000000 350.00 1
>GJ 876: 343.3239737 -14.2665958 5.0100000 0.367000 0.369607 3293.74 4.874911 0.2129
 GJ 876 c: nan nan 221.84422809 0.1363000000 30.22902000000 nan 1
>HD 12661: 31.1423525 25.4135632 5.8610000 1.200000 1.200000 5645.00 4.360000 0.3600
 HD 12661 b: nan nan 772.32690000 0.8400000000 262.70862000000 nan 1
>HD 160691: 266.0361585 -51.8348751 3.6830000 nan 1.080000 nan nan nan
 HD 160691 b: nan nan 532.68308000 1.4970000000 643.25000000000 nan 1
>HD 16141: 38.8323674 -3.5624887 5.2660000 1.480000 1.110000 5757.00 4.140000 0.1300
 HD 16141 b: nan nan 82.63580000 0.3600000000 75.52300000000 nan 1
>HD 168443: 275.0159879 -9.5966905 5.2110000 1.510000 0.995000 5491.00 4.070000 0.0400
 HD 168443 c: nan nan 5464.22100000 2.8373000000 1749.83000000000 nan 1
>HD 169830: 276.9561859 -29.8167919 4.6880000 1.200000 1.400000 6300.00 4.110000 0.2100
 HD 169830 b: nan nan 934.42020000 0.8200000000 229.90000000000 345.00 1
>HD 179949: 288.8890182 -24.1797939 4.9360000 1.266865 1.220173 6176.20 4.317108 0.1555
 HD 179949 b: nan nan 307.34006957 0.0443900000 3.09253500000 nan 1
>HD 27442: 64.1205476 -59.3028771 1.7450000 nan 1.200000 nan nan 0.2200
 HD 27442 b: nan nan 429.07050000 1.1600000000 415.20000000000 nan 1
>HD 38529: 86.6451363 1.1675866 4.2110000 nan 1.477000 5697.00 nan 0.5100
 HD 38529 b: nan nan 266.64813000 0.1310000000 14.30980000000 nan 1
 HD 38529 c: nan nan 4128.61170000 3.6400000000 2136.10000000000 nan 1
>HD 46375: 98.3030763 5.4625071 6.0000000 0.914196 0.932831 5264.38 4.485321 0.2714
 HD 46375 b: nan nan 72.01991703 0.0399800000 3.02349500000 nan 1
>HD 52265: 105.0746449 -5.3668142 4.9530000 1.320000 1.320000 6117.00 4.320000 0.2200
 HD 52265 b: nan nan 368.68280000 0.5000000000 119.29000000000 nan 1
>HD 92788: 160.7021351 -2.1847173 5.7210000 nan 1.100000 5821.00 4.450000 0.3200
 HD 92788 b: nan nan 1137.83140000 0.9600000000 325.00000000000 nan 1
>eps Eri: 53.2284306 -9.4581715 1.7760000 nan 0.850000 nan nan nan
 eps Eri b: nan nan 540.31100000 3.4000000000 2502.10000000000 nan 0
