# Wavelength        (Rp/Rs)**2
#         um          unitless
     0.65000   2.925465860e-02
     0.65043   2.924718769e-02
     0.65087   2.924386021e-02
     0.65130   2.925036286e-02
     0.65174   2.925147078e-02
     0.65217   2.924379653e-02
     0.65261   2.924312047e-02
     0.65304   2.924513224e-02
     0.65348   2.924248270e-02
     0.65391   2.924273639e-02
     0.65435   2.923954381e-02
     0.65478   2.924229598e-02
     0.65522   2.923826788e-02
     0.65566   2.924075282e-02
     0.65610   2.923796654e-02
     0.65653   2.924015598e-02
     0.65697   2.923706695e-02
     0.65741   2.923714121e-02
     0.65785   2.923956887e-02
     0.65829   2.924511488e-02
     0.65872   2.924198321e-02
     0.65916   2.923473745e-02
     0.65960   2.925229328e-02
     0.66004   2.925167355e-02
     0.66048   2.923333911e-02
     0.66092   2.923150398e-02
     0.66136   2.924145034e-02
     0.66181   2.923791541e-02
     0.66225   2.923286409e-02
     0.66269   2.923136366e-02
     0.66313   2.923072139e-02
     0.66357   2.923054704e-02
     0.66402   2.923071375e-02
     0.66446   2.922851314e-02
     0.66490   2.923193405e-02
     0.66534   2.922778626e-02
     0.66579   2.922644956e-02
     0.66623   2.923173775e-02
     0.66668   2.922752020e-02
     0.66712   2.923202532e-02
     0.66757   2.922482363e-02
     0.66801   2.922420240e-02
     0.66846   2.922563505e-02
     0.66890   2.922576796e-02
     0.66935   2.922388544e-02
     0.66980   2.922357978e-02
     0.67024   2.922167266e-02
     0.67069   2.922177043e-02
     0.67114   2.922166507e-02
     0.67158   2.922157187e-02
     0.67203   2.922101249e-02
     0.67248   2.922074626e-02
     0.67293   2.922115858e-02
     0.67338   2.921856751e-02
     0.67383   2.921958982e-02
     0.67428   2.921855482e-02
     0.67473   2.921769148e-02
     0.67518   2.921734473e-02
     0.67563   2.921622379e-02
     0.67608   2.921584512e-02
     0.67653   2.921578620e-02
     0.67698   2.921529114e-02
     0.67743   2.921444058e-02
     0.67788   2.921418149e-02
     0.67833   2.921372231e-02
     0.67879   2.921306658e-02
     0.67924   2.921334420e-02
     0.67969   2.921271070e-02
     0.68014   2.921255616e-02
     0.68060   2.921176386e-02
     0.68105   2.921094811e-02
     0.68151   2.921047027e-02
     0.68196   2.921243705e-02
     0.68242   2.920959677e-02
     0.68287   2.921218491e-02
     0.68333   2.920842509e-02
     0.68378   2.920965867e-02
     0.68424   2.920799525e-02
     0.68469   2.920785716e-02
     0.68515   2.920657777e-02
     0.68561   2.920636615e-02
     0.68606   2.920572104e-02
     0.68652   2.920528180e-02
     0.68698   2.920534777e-02
     0.68744   2.920498545e-02
     0.68790   2.920473555e-02
     0.68836   2.920474636e-02
     0.68881   2.920633229e-02
     0.68927   2.920768919e-02
     0.68973   2.921243465e-02
     0.69019   2.920339428e-02
     0.69065   2.920284955e-02
     0.69111   2.920855214e-02
     0.69158   2.921703789e-02
     0.69204   2.922377394e-02
     0.69250   2.926892405e-02
     0.69296   2.921114995e-02
     0.69342   2.920674086e-02
     0.69388   2.919800908e-02
     0.69435   2.920616108e-02
     0.69481   2.920470508e-02
     0.69527   2.920241228e-02
     0.69574   2.922144023e-02
     0.69620   2.920618733e-02
     0.69667   2.919917277e-02
     0.69713   2.920153524e-02
     0.69760   2.919844400e-02
     0.69806   2.920628605e-02
     0.69853   2.919938651e-02
     0.69899   2.920592414e-02
     0.69946   2.920562186e-02
     0.69992   2.920076136e-02
     0.70039   2.921454041e-02
     0.70086   2.920443929e-02
     0.70133   2.919869823e-02
     0.70179   2.919512583e-02
     0.70226   2.919593370e-02
     0.70273   2.922452524e-02
     0.70320   2.923299618e-02
     0.70367   2.919365594e-02
     0.70414   2.919890288e-02
     0.70461   2.920613890e-02
     0.70508   2.922427116e-02
     0.70555   2.922400613e-02
     0.70602   2.921497770e-02
     0.70649   2.919007062e-02
     0.70696   2.919760529e-02
     0.70743   2.923680629e-02
     0.70790   2.920666855e-02
     0.70837   2.922634079e-02
     0.70885   2.920863438e-02
     0.70932   2.919825204e-02
     0.70979   2.920730126e-02
     0.71027   2.920713406e-02
     0.71074   2.920637770e-02
     0.71121   2.919700360e-02
     0.71169   2.920902955e-02
     0.71216   2.920722016e-02
     0.71264   2.923023025e-02
     0.71311   2.920286184e-02
     0.71359   2.919613485e-02
     0.71406   2.920027239e-02
     0.71454   2.919261411e-02
     0.71502   2.919023436e-02
     0.71549   2.920933394e-02
     0.71597   2.925279642e-02
     0.71645   2.924764006e-02
     0.71693   2.923801547e-02
     0.71740   2.935021101e-02
     0.71788   2.922641510e-02
     0.71836   2.920406692e-02
     0.71884   2.925069369e-02
     0.71932   2.925530624e-02
     0.71980   2.925468154e-02
     0.72028   2.924241790e-02
     0.72076   2.926665834e-02
     0.72124   2.922321562e-02
     0.72172   2.922081859e-02
     0.72220   2.919667894e-02
     0.72268   2.919673389e-02
     0.72317   2.921493039e-02
     0.72365   2.927496338e-02
     0.72413   2.921921631e-02
     0.72461   2.919329195e-02
     0.72510   2.921643827e-02
     0.72558   2.919909081e-02
     0.72606   2.932481908e-02
     0.72655   2.929704162e-02
     0.72703   2.920535033e-02
     0.72752   2.923027033e-02
     0.72800   2.919745490e-02
     0.72849   2.918811967e-02
     0.72897   2.919697961e-02
     0.72946   2.920641308e-02
     0.72995   2.918712016e-02
     0.73043   2.919275411e-02
     0.73092   2.921586990e-02
     0.73141   2.922913103e-02
     0.73190   2.923566498e-02
     0.73238   2.921623465e-02
     0.73287   2.926630290e-02
     0.73336   2.929943895e-02
     0.73385   2.920563931e-02
     0.73434   2.918789149e-02
     0.73483   2.919027207e-02
     0.73532   2.924827348e-02
     0.73581   2.923356927e-02
     0.73630   2.919393934e-02
     0.73679   2.921692882e-02
     0.73728   2.922274895e-02
     0.73778   2.920512490e-02
     0.73827   2.920633636e-02
     0.73876   2.921963368e-02
     0.73925   2.920764185e-02
     0.73975   2.919547655e-02
     0.74024   2.919606815e-02
     0.74073   2.918558588e-02
     0.74123   2.919143394e-02
     0.74172   2.921246045e-02
     0.74222   2.919115810e-02
     0.74271   2.921927831e-02
     0.74321   2.919857189e-02
     0.74370   2.921030010e-02
     0.74420   2.923576880e-02
     0.74469   2.921646401e-02
     0.74519   2.919227406e-02
     0.74569   2.918941851e-02
     0.74618   2.921142629e-02
     0.74668   2.921228613e-02
     0.74718   2.920260365e-02
     0.74768   2.919760975e-02
     0.74818   2.922510377e-02
     0.74868   2.921058085e-02
     0.74917   2.921065388e-02
     0.74967   2.921459455e-02
     0.75017   2.921828788e-02
     0.75067   2.922069751e-02
     0.75118   2.920833689e-02
     0.75168   2.921581042e-02
     0.75218   2.921935063e-02
     0.75268   2.921522403e-02
     0.75318   2.921328350e-02
     0.75368   2.922510067e-02
     0.75419   2.922321311e-02
     0.75469   2.922300672e-02
     0.75519   2.922745012e-02
     0.75570   2.922558607e-02
     0.75620   2.923338729e-02
     0.75670   2.923651074e-02
     0.75721   2.923766127e-02
     0.75771   2.924346686e-02
     0.75822   2.924663276e-02
     0.75872   2.925267097e-02
     0.75923   2.926389938e-02
     0.75974   2.926404941e-02
     0.76024   2.927210947e-02
     0.76075   2.927992483e-02
     0.76126   2.928907822e-02
     0.76177   2.930177507e-02
     0.76227   2.931096072e-02
     0.76278   2.932244141e-02
     0.76329   2.933823475e-02
     0.76380   2.935679708e-02
     0.76431   2.938088002e-02
     0.76482   2.941564329e-02
     0.76533   2.947350244e-02
     0.76584   2.957545955e-02
     0.76635   3.002735161e-02
     0.76686   2.969565578e-02
     0.76737   2.952750259e-02
     0.76788   2.945928028e-02
     0.76840   2.943871271e-02
     0.76891   2.946802967e-02
     0.76942   2.957946623e-02
     0.76993   2.999611382e-02
     0.77045   2.955435343e-02
     0.77096   2.944188011e-02
     0.77148   2.938453200e-02
     0.77199   2.935215057e-02
     0.77251   2.933095172e-02
     0.77302   2.931388863e-02
     0.77354   2.930051993e-02
     0.77405   2.928792481e-02
     0.77457   2.927793884e-02
     0.77508   2.926939152e-02
     0.77560   2.926105644e-02
     0.77612   2.925363202e-02
     0.77664   2.924611357e-02
     0.77715   2.924026443e-02
     0.77767   2.923542834e-02
     0.77819   2.922868700e-02
     0.77871   2.922518927e-02
     0.77923   2.922137281e-02
     0.77975   2.921727787e-02
     0.78027   2.921225386e-02
     0.78079   2.920784428e-02
     0.78131   2.920583421e-02
     0.78183   2.920962865e-02
     0.78235   2.920604014e-02
     0.78287   2.919733815e-02
     0.78340   2.919129303e-02
     0.78392   2.920222334e-02
     0.78444   2.918510894e-02
     0.78496   2.918673358e-02
     0.78549   2.918273633e-02
     0.78601   2.917864648e-02
     0.78654   2.919343902e-02
     0.78706   2.917742659e-02
     0.78759   2.917127046e-02
     0.78811   2.918253829e-02
     0.78864   2.916856066e-02
     0.78916   2.916689930e-02
     0.78969   2.916271907e-02
     0.79022   2.918589583e-02
     0.79074   2.916008107e-02
     0.79127   2.916409660e-02
     0.79180   2.917230696e-02
     0.79233   2.915450334e-02
     0.79285   2.915915808e-02
     0.79338   2.915200349e-02
     0.79391   2.915584396e-02
     0.79444   2.915031063e-02
     0.79497   2.915663859e-02
     0.79550   2.915370434e-02
     0.79603   2.914672787e-02
     0.79656   2.915738879e-02
     0.79709   2.914373942e-02
     0.79763   2.914879987e-02
     0.79816   2.916736293e-02
     0.79869   2.916340132e-02
     0.79922   2.914494768e-02
     0.79976   2.913441199e-02
     0.80029   2.914295640e-02
     0.80082   2.914777442e-02
     0.80136   2.914083827e-02
     0.80189   2.915922157e-02
     0.80243   2.915836152e-02
     0.80296   2.914205642e-02
     0.80350   2.914702233e-02
     0.80403   2.912741713e-02
     0.80457   2.916626255e-02
     0.80510   2.913603144e-02
     0.80564   2.914136054e-02
     0.80618   2.912777903e-02
     0.80672   2.914022611e-02
     0.80725   2.916758559e-02
     0.80779   2.917739484e-02
     0.80833   2.913077659e-02
     0.80887   2.912899053e-02
     0.80941   2.924492069e-02
     0.80995   2.918747150e-02
     0.81049   2.919118930e-02
     0.81103   2.923269605e-02
     0.81157   2.916831847e-02
     0.81211   2.920263144e-02
     0.81265   2.917272802e-02
     0.81320   2.923125742e-02
     0.81374   2.919164326e-02
     0.81428   2.918392094e-02
     0.81482   2.927316267e-02
     0.81537   2.916034426e-02
     0.81591   2.921093074e-02
     0.81646   2.930984418e-02
     0.81700   2.911971240e-02
     0.81754   2.913195231e-02
     0.81809   2.912024820e-02
     0.81864   2.915011848e-02
     0.81918   2.913758579e-02
     0.81973   2.913266581e-02
     0.82027   2.921307137e-02
     0.82082   2.913720299e-02
     0.82137   2.913331655e-02
     0.82192   2.915447218e-02
     0.82246   2.914674534e-02
     0.82301   2.927266070e-02
     0.82356   2.918088099e-02
     0.82411   2.915222974e-02
     0.82466   2.923481695e-02
