# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
>WASP-80: 2.76 10.72 220.0 0.0778 8.5235 805.1 0.0 nan
 WASP-80 b: 3.031 15.524 692.869 0.0295 1.6828 63.04663545381846 0
>GJ 86: 32.6224785 -50.8209945 4.125 nan 0.77 5151.0 4.594 -0.268
 GJ 86 b: nan nan 1242.66 0.113 15.76491 nan 1
>HD 10697: 26.2324076 20.0826974 4.601 1.863076 1.155848 5645.13 3.957761 0.1596
 HD 10697 b: nan nan 2030.92352073 2.156 1075.65 253.04522868237694 1
>HD 130322: 221.8857975 -0.2820782 6.234 nan 0.836 5308.0 nan -0.02
 HD 130322 b: nan nan 330.53 0.0896 10.7085 nan 1
>HD 134987: 228.3675397 -25.3096721 4.882 nan 1.05 nan nan nan
 HD 134987 b: nan nan 518.0629 0.82 264.6 nan 1
>HD 177830: 286.3363574 25.9204327 4.809 2.62 1.47 4949.0 3.65 0.545
 HD 177830 b: nan nan 473.547 1.2218 406.6 349.46310948421836 1
>HD 192263: 303.4990864 -0.8657574 5.537 0.73 0.807 4996.0 4.628 0.054
 HD 192263 b: nan nan 232.96 0.15312 24.3587 526.0187166465934 1
>HD 209458: 330.7950219 18.8842419 6.308 1.18655 1.13 6052.0 4.34258 0.05
 HD 209458 b: nan 15.24424 219.3027 0.0471696007690138 3.52 1463.6732600660234 0
>HD 222582: 355.4640788 -5.9862379 6.173 1.145017 0.969129 5746.66 4.305171 0.0171
 HD 222582 b: nan nan 2504.48784716 1.335 572.537 256.6339658227386 1
>HD 75289: 131.9181715 -41.7377748 5.012 nan 1.21 6095.0 4.335 0.217
 HD 75289 b: nan nan 148.42661 0.0482 3.509267 nan 1
>HD 89744: 155.5433193 41.2289354 4.454 2.13257 1.21 6249.16 3.86304 0.2238
 HD 89744 b: nan nan 2517.11 0.91 256.78 461.30259070132473 1
>HR 810: 40.6417178 -50.7993484 4.138 nan 1.03 nan nan nan
 HR 810 b: nan nan 676.9779 0.91 312.0 nan 1
>ups And: 24.1983534 41.4038147 2.859 nan 1.3022304597301775 nan nan nan
 ups And c: nan nan 715.09 0.821 238.1 nan 1
 ups And d: nan nan 1255.38 2.57 1319.0 nan 1
>BD-10 3166: 164.6191243 -10.7704227 8.124 nan 1.01 5393.0 4.685 0.382
 BD-10 3166 b: nan nan 145.56 0.0452 3.48777 nan 1
>GJ 3021: 4.0634323 -79.8514218 4.859 0.9 0.9 5540.0 4.7 0.1
 GJ 3021 b: nan nan 1071.04 0.49 133.71 362.048103816938 1
>GJ 876: 343.3239737 -14.2665958 5.01 0.367 0.369607 3293.74 4.874911 0.2129
 GJ 876 c: nan nan 221.84422809 0.1363 30.22902 260.61998535571433 1
>HD 12661: 31.1423525 25.4135632 5.861 1.2 1.2 5645.0 4.36 0.36
 HD 12661 b: nan nan 772.3269 0.84 262.70862 325.3480619708921 1
>HD 160691: 266.0361585 -51.8348751 3.683 nan 1.08 nan nan nan
 HD 160691 b: nan nan 532.68308 1.497 643.25 nan 1
>HD 16141: 38.8323674 -3.5624887 5.266 1.48 1.11 5757.0 4.14 0.13
 HD 16141 b: nan nan 82.6358 0.36 75.523 562.8713381310397 1
>HD 168443: 275.0159879 -9.5966905 5.211 1.51 0.995 5491.0 4.07 0.04
 HD 168443 c: nan nan 5464.221 2.8373 1749.83 193.16150751047266 1
>HD 169830: 276.9561859 -29.8167919 4.688 1.2 1.4 6300.0 4.11 0.21
 HD 169830 b: nan nan 934.4202 0.82 229.9 367.5001698233436 1
>HD 179949: 288.8890182 -24.1797939 4.936 1.266865 1.220173 6176.2 4.317108 0.1555
 HD 179949 b: nan nan 307.34006957 0.04439 3.092535 1591.0258847083517 1
>HD 27442: 64.1205476 -59.3028771 1.745 nan 1.2 nan nan 0.22
 HD 27442 b: nan nan 429.0705 1.16 415.2 nan 1
>HD 38529: 86.6451363 1.1675866 4.211 nan 1.477 5697.0 nan 0.51
 HD 38529 b: nan nan 266.64813 0.131 14.3098 nan 1
 HD 38529 c: nan nan 4128.6117 3.64 2136.1 nan 1
>HD 46375: 98.3030763 5.4625071 6.0 0.914196 0.932831 5264.38 4.485321 0.2714
 HD 46375 b: nan nan 72.01991703 0.03998 3.023495 1213.88848532356 1
>HD 52265: 105.0746449 -5.3668142 4.953 1.32 1.32 6117.0 4.32 0.22
 HD 52265 b: nan nan 368.6828 0.5 119.29 479.26282323113725 1
>HD 92788: 160.7021351 -2.1847173 5.721 nan 1.1 5821.0 4.45 0.32
 HD 92788 b: nan nan 1137.8314 0.96 325.0 nan 1
>eps Eri: 53.2284306 -9.4581715 1.776 nan 0.85 nan nan nan
 eps Eri b: nan nan 540.311 3.4 2502.1 nan 0
