# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
>11 Com: 185.1787793 17.7932516 2.282 13.760 2.090 4874.0 2.45 -0.26
 11 Com b: nan nan 4914.898 1.1780 323.21000 803.3 1
>11 UMi: 229.2745954 71.8239428 1.939 29.790 2.780 4213.0 1.93 -0.02
 11 UMi b: nan nan 4684.814 1.5300 516.21997 896.4 1
>14 And: 352.8241500 39.2358367 2.331 11.550 1.780 4888.0 2.55 -0.21
 14 And b: nan nan 1131.151 0.7750 186.76000 909.9 1
>14 Her: 242.6021014 43.8163621 4.714 0.969 0.910 5280.0 4.40 0.40
 14 Her b: nan nan 2559.472 2.7740 1765.03890 150.4 0
 HD 145675 c: nan nan 1597.088 11.9240 15732.45889 72.6 0
>16 Cyg B: 295.4656422 50.5168243 4.651 1.130 1.080 5750.0 4.36 0.06
 16 Cyg B b: nan nan 565.737 1.6600 798.50000 228.8 1
>17 Sco: 243.4620874 -11.8377905 2.094 25.920 1.220 4157.0 1.70 -0.01
 17 Sco b: nan nan 1373.019 1.4500 578.38000 847.5 1
>18 Del: 314.6078375 10.8391378 3.366 8.800 2.100 4980.0 2.87 -0.06
 18 Del b: nan nan 2926.246 2.4760 982.85000 452.7 1
>1RXS J160929.1-210524: 242.3762343 -21.0831403 8.916 1.350 0.850 4060.0 4.00 nan
 1RXS J160929.1-210524 b: nan 18.647 3000.000 330.0000 2374925.72313 12.5 0
>24 Boo: 217.1555242 49.8446488 3.159 12.190 1.050 4816.0 2.28 -0.78
 24 Boo b: nan nan 280.642 0.1940 30.33000 1840.9 1
>24 Sex: 155.8684866 -0.9023998 4.285 4.900 1.540 5098.0 3.50 -0.03
 24 Sex b: nan nan 632.460 1.3330 452.80000 471.3 1
 24 Sex c: nan nan 273.320 2.0800 883.00000 377.3 1
>2MASS J01033563-5515561 A: 15.8992489 -55.2658291 9.237 nan 0.190 nan nan nan
 2MASS J01033563-5515561 AB b: nan nan 4131.790 84.0000 645105.45319 nan 0
>2MASS J01225093-2439505: 20.7128012 -24.6646128 9.198 0.370 0.400 3530.0 4.86 nan
 2MASS J01225093-2439505 b: nan 11.209 7786.500 52.0000 216552.70066 14.4 0
>2MASS J02192210-3925225: 34.8427046 -39.4230767 10.404 0.280 0.110 3064.0 4.59 nan
 2MASS J02192210-3925225 b: nan 16.141 4417.837 156.0000 2145750.08999 6.3 0
>2MASS J0249-0557 A: 42.4851627 -5.9599921 11.055 nan 0.050 nan nan nan
 2MASS J0249-0557 c: nan nan 3686.810 1950.0000 140655105.02137 nan 0
>2MASS J03590986+2009361: 59.7911026 20.1599759 12.533 nan nan nan nan nan
 2MASS J03590986+2009361 b: nan nan 5720.911 572.0000 nan nan 0
>2MASS J04372171+2651014: 69.3405531 26.8502997 10.386 0.840 0.170 3100.0 4.50 0.01
 2M0437 b: nan nan 1271.314 118.0000 1135499.98999 12.6 0
>2MASS J04414489+2301513: 70.4371079 23.0308544 13.161 nan 0.020 nan nan nan
 2MASS J04414489+2301513 b: nan nan 2383.600 15.0000 150041.18145 nan 0
>2MASS J11011926-7732383: 165.3295388 -77.5440912 11.632 nan nan nan nan nan
 2MASS J11011926-7732383 b: nan nan 8899.195 266.0000 nan nan 0
>2MASS J11550485-7919108: 178.7691634 -79.3197558 10.079 nan nan nan nan nan
 2MASS J11550485-7919108 b: nan nan 6356.568 587.0000 nan nan 0
>2MASS J12073346-3932539: 181.8890906 -39.5484399 11.945 0.263 0.020 2825.0 5.03 nan
 2MASS J12073346-3932539 b: nan nan 1589.150 55.0000 1053458.95895 9.4 0
>2MASS J19383260+4603591: 294.6359173 46.0664076 12.955 0.200 0.480 29564.0 5.51 nan
 2MASS J19383260+4603591 b: nan nan 591.161 0.8402 406.00000 695.5 1
 Kepler-451 c: nan nan 511.704 1.9721 1460.00000 454.0 1
 Kepler-451 d: nan nan 559.378 0.1881 43.00000 1470.1 1
>2MASS J21252752-8138278: 321.3662989 -81.6414894 7.341 nan nan nan nan nan
 2MASS J21252752-8138278 b: nan nan 3813.941 7493.0000 nan nan 0
>2MASS J22362452+4751425: 339.1025931 47.8616830 9.148 nan 0.600 4045.0 nan nan
 2MASS J22362452+4751425 b: nan nan 3972.875 230.0000 1644768.24756 nan 0
>30 Ari B: 39.2412736 24.6480103 5.822 1.410 1.930 6331.0 4.43 0.19
